date,food_cos,beverage_cos,wine_cos,liquor_cos,beer_cos,total_cos
2012-01-13,1030.0,0.0,0.0,76.0,0.0,1106.0
2012-01-15,143.0,0.0,0.0,0.0,0.0,143.0
2012-01-16,605.0,0.0,0.0,0.0,0.0,605.0
2012-01-17,516.0,0.0,310.0,0.0,150.0,976.0
2012-01-18,0.0,75.0,0.0,0.0,0.0,75.0
2012-01-19,858.0,0.0,0.0,496.0,0.0,1354.0
2012-01-20,1005.0,129.0,1225.0,205.0,0.0,2564.0
2012-01-21,473.0,0.0,0.0,45.0,0.0,518.0
2012-01-23,384.0,9.0,738.0,0.0,284.0,1415.0
2012-01-24,862.0,9.0,472.0,0.0,0.0,1343.0
2012-01-25,486.0,0.0,0.0,0.0,0.0,486.0
2012-01-26,958.0,47.0,0.0,0.0,0.0,1005.0
2012-01-27,21.0,0.0,0.0,0.0,0.0,21.0
2012-01-30,708.0,19.0,0.0,0.0,0.0,727.0
2012-01-31,362.0,0.0,0.0,0.0,0.0,362.0
2012-02-01,1054.0,299.0,0.0,0.0,0.0,1353.0
2012-02-02,0.0,0.0,0.0,1245.0,335.0,1580.0
2012-02-03,90.0,0.0,0.0,0.0,0.0,90.0
2012-02-04,1815.0,0.0,642.0,0.0,0.0,2457.0
2012-02-05,68.0,0.0,0.0,135.0,205.0,408.0
2012-02-06,6.0,0.0,0.0,0.0,0.0,6.0
2012-02-07,976.0,0.0,2397.0,0.0,0.0,3373.0
2012-02-08,394.0,0.0,182.0,182.0,0.0,758.0
2012-02-09,147.0,65.0,521.0,270.0,0.0,1003.0
2012-02-10,2602.0,86.0,363.0,175.0,0.0,3226.0
2012-02-13,42.0,0.0,0.0,0.0,0.0,42.0
2012-02-14,860.0,0.0,701.0,0.0,0.0,1561.0
2012-02-15,301.0,0.0,0.0,0.0,0.0,301.0
2012-02-17,1665.0,14.0,1087.0,196.0,172.0,3134.0
2012-02-18,253.0,0.0,0.0,0.0,0.0,253.0
2012-02-21,1068.0,0.0,416.0,0.0,0.0,1484.0
2012-02-22,724.0,11.0,0.0,0.0,80.0,815.0
2012-02-23,75.0,0.0,0.0,0.0,0.0,75.0
2012-02-24,1122.0,150.0,0.0,164.0,73.0,1509.0
2012-02-25,496.0,0.0,0.0,0.0,0.0,496.0
2012-02-26,8.0,32.0,0.0,0.0,0.0,40.0
2012-02-27,45.0,0.0,0.0,0.0,0.0,45.0
2012-02-28,515.0,0.0,65.0,0.0,166.0,746.0
