Date,Account,Debit,Credit
24-04-13,Food Sales,,2022
24-04-13,Food Sales,,2720
25-04-13,Food Sales,,2066
26-04-13,Food Sales,,3361
27-04-13,Food Sales,,3809
28-04-13,Food Sales,,2579
29-04-13,Food Sales,,1285
30-04-13,Food Sales,,1855
01-05-13,Food Sales,,1712
02-05-13,Food Sales,,2540
03-05-13,Food Sales,,4821
04-05-13,Food Sales,,5823
05-05-13,Food Sales,,2577
06-05-13,Food Sales,,1527
07-05-13,Food Sales,,1553
08-05-13,Food Sales,,2014
09-05-13,Food Sales,,2375
10-05-13,Food Sales,0,
10-05-13,Food Sales,,3770
11-05-13,Food Sales,,5241
12-05-13,Food Sales,,5720
13-05-13,Food Sales,,1235
14-05-13,Food Sales,,1291
15-05-13,Food Sales,,2395
16-05-13,Food Sales,,2863
17-05-13,Food Sales,,3878
18-05-13,Food Sales,,3565
19-05-13,Food Sales,,3328
21-05-13,Food Sales,,1710
22-05-13,Food Sales,,1960
23-05-13,Food Sales,,2760
24-05-13,Food Sales,,3792
25-05-13,Food Sales,,4752
26-05-13,Food Sales,,2682
27-05-13,Food Sales,,1611
28-05-13,Food Sales,,1467
29-05-13,Food Sales,,2482
30-05-13,Food Sales,,2769
31-05-13,Food Sales,,4039
01-06-13,Food Sales,,5124
02-06-13,Food Sales,,2477
03-06-13,Food Sales,,3340
04-06-13,Food Sales,,2520
05-06-13,Food Sales,,1904
06-06-13,Food Sales,,1978
07-06-13,Food Sales,,4257
08-06-13,Food Sales,,5082
09-06-13,Food Sales,,3330
10-06-13,Food Sales,,2062
11-06-13,Food Sales,,3097
12-06-13,Food Sales,,2267
13-06-13,Food Sales,,3717
14-06-13,Food Sales,,5536
16-06-13,Food Sales,,3976
17-06-13,Food Sales,,1761
18-06-13,Food Sales,,2772
19-06-13,Food Sales,,2478
20-06-13,Food Sales,,3526
21-06-13,Food Sales,,4902
22-06-13,Food Sales,,4941
23-06-13,Food Sales,,2524
24-06-13,Food Sales,,1963
25-06-13,Food Sales,,2159
26-06-13,Food Sales,,3809
27-06-13,Food Sales,,3381
28-06-13,Food Sales,,3016
29-06-13,Food Sales,,2888
30-06-13,Food Sales,,2662
02-07-13,Food Sales,,1757
03-07-13,Food Sales,,2092
04-07-13,Food Sales,,2684
05-07-13,Food Sales,,3853
06-07-13,Food Sales,,4017
07-07-13,Food Sales,,3104
08-07-13,Food Sales,,655
09-07-13,Food Sales,,1754
10-07-13,Food Sales,,2655
11-07-13,Food Sales,,1643
12-07-13,Food Sales,,3649
13-07-13,Food Sales,,4147
14-07-13,Food Sales,,2127
15-07-13,Food Sales,,2240
16-07-13,Food Sales,,2865
17-07-13,Food Sales,,1909
18-07-13,Food Sales,,3141
19-07-13,Food Sales,,2636
20-07-13,Food Sales,,4200
21-07-13,Food Sales,,2819
22-07-13,Food Sales,,2147
23-07-13,Food Sales,,2474
24-07-13,Food Sales,,2411
25-07-13,Food Sales,,3481
26-07-13,Food Sales,,4713
27-07-13,Food Sales,,4723
28-07-13,Food Sales,,2502
29-07-13,Food Sales,,2021
30-07-13,Food Sales,,3631
31-07-13,Food Sales,,2485
01-08-13,Food Sales,,2392
02-08-13,Food Sales,,4198
03-08-13,Food Sales,,4093
04-08-13,Food Sales,,1734
06-08-13,Food Sales,,1503
07-08-13,Food Sales,,2734
08-08-13,Food Sales,,2752
09-08-13,Food Sales,,4183
10-08-13,Food Sales,,4023
11-08-13,Food Sales,,2762
12-08-13,Food Sales,,1184
13-08-13,Food Sales,,1962
14-08-13,Food Sales,,2949
15-08-13,Food Sales,,3989
16-08-13,Food Sales,,4313
17-08-13,Food Sales,,3921
18-08-13,Food Sales,,1691
19-08-13,Food Sales,,949
20-08-13,Food Sales,,2045
21-08-13,Food Sales,,3387
22-08-13,Food Sales,,3092
23-08-13,Food Sales,,3394
24-08-13,Food Sales,,5101
25-08-13,Food Sales,,3228
26-08-13,Food Sales,,2467
27-08-13,Food Sales,,2724
28-08-13,Food Sales,,2903
29-08-13,Food Sales,,3734
30-08-13,Food Sales,,3009
31-08-13,Food Sales,,3375
01-09-13,Food Sales,,2089
03-09-13,Food Sales,,1439
04-09-13,Food Sales,,2453
05-09-13,Food Sales,,2030
06-09-13,Food Sales,,4640
07-09-13,Food Sales,,4516
08-09-13,Food Sales,,4427
09-09-13,Food Sales,,1327
10-09-13,Food Sales,,2577
11-09-13,Food Sales,,1953
12-09-13,Food Sales,,2788
13-09-13,Food Sales,,3805
14-09-13,Food Sales,,4252
15-09-13,Food Sales,,2886
16-09-13,Food Sales,,1735
17-09-13,Food Sales,,1844
19-09-13,Food Sales,,2995
20-09-13,Food Sales,,3506
21-09-13,Food Sales,,3428
22-09-13,Food Sales,,1487
23-09-13,Food Sales,,1605
24-09-13,Food Sales,,1868
25-09-13,Food Sales,,1776
26-09-13,Food Sales,,2715
27-09-13,Food Sales,,4098
28-09-13,Food Sales,,5081
29-09-13,Food Sales,,2053
30-09-13,Food Sales,,1674
01-10-13,Food Sales,,1399
02-10-13,Food Sales,,2548
03-10-13,Food Sales,,1649
04-10-13,Food Sales,,4010
05-10-13,Food Sales,,4232
06-10-13,Food Sales,,1943
07-10-13,Food Sales,,1511
08-10-13,Food Sales,,1703
09-10-13,Food Sales,,2039
10-10-13,Food Sales,,2647
11-10-13,Food Sales,,4000
12-10-13,Food Sales,,3250
13-10-13,Food Sales,,1918
15-10-13,Food Sales,,1657
16-10-13,Food Sales,0,
16-10-13,Food Sales,0,
16-10-13,Food Sales,,1670
17-10-13,Food Sales,,2426
18-10-13,Food Sales,,4802
19-10-13,Food Sales,,3950
20-10-13,Food Sales,,2423
21-10-13,Food Sales,,1328
22-10-13,Food Sales,,1649
24-10-13,Food Sales,,1922
24-10-13,Food Sales,,2038
25-10-13,Food Sales,,3949
27-10-13,Food Sales,,1174
28-10-13,Food Sales,,1562
29-10-13,Food Sales,0,
29-10-13,Food Sales,,2239
30-10-13,Food Sales,,2051
31-10-13,Food Sales,,2020
01-11-13,Food Sales,,4302
02-11-13,Food Sales,,5042
03-11-13,Food Sales,,2558
04-11-13,Food Sales,,1485
05-11-13,Food Sales,,2772
06-11-13,Food Sales,,1686
07-11-13,Food Sales,,2839
08-11-13,Food Sales,,3533
09-11-13,Food Sales,,4055
10-11-13,Food Sales,,2882
11-11-13,Food Sales,,1252
12-11-13,Food Sales,,1225
13-11-13,Food Sales,,1391
15-11-13,Food Sales,,5333
17-11-13,Food Sales,,3682
17-11-13,Food Sales,,1788
18-11-13,Food Sales,,685
19-11-13,Food Sales,,1220
20-11-13,Food Sales,,1181
21-11-13,Food Sales,,2682
23-11-13,Food Sales,,2598
23-11-13,Food Sales,,3821
24-11-13,Food Sales,,1838
25-11-13,Food Sales,,1246
26-11-13,Food Sales,,937
27-11-13,Food Sales,,1499
28-11-13,Food Sales,,2285
29-11-13,Food Sales,,4939
30-11-13,Food Sales,,4247
01-12-13,Food Sales,,1430
02-12-13,Food Sales,,1236
03-12-13,Food Sales,,1162
04-12-13,Food Sales,,2479
05-12-13,Food Sales,,1825
06-12-13,Food Sales,,5841
07-12-13,Food Sales,,3946
08-12-13,Food Sales,,1102
09-12-13,Food Sales,,1481
10-12-13,Food Sales,,3001
11-12-13,Food Sales,,2017
12-12-13,Food Sales,,3569
13-12-13,Food Sales,,3668
14-12-13,Food Sales,,3245
15-12-13,Food Sales,,1482
16-12-13,Food Sales,,1454
17-12-13,Food Sales,,3011
18-12-13,Food Sales,,1806
19-12-13,Food Sales,,2357
20-12-13,Food Sales,,2347
21-12-13,Food Sales,,2376
22-12-13,Food Sales,,1657
23-12-13,Food Sales,,2413
27-12-13,Food Sales,,2507
28-12-13,Food Sales,,3711
29-12-13,Food Sales,,2055
30-12-13,Food Sales,,2388
31-12-13,Food Sales,,4610
02-01-14,Food Sales,,1627
03-01-14,Food Sales,,3631
04-01-14,Food Sales,,2841
05-01-14,Food Sales,,552
07-01-14,Food Sales,,717
08-01-14,Food Sales,,655
09-01-14,Food Sales,,1743
10-01-14,Food Sales,,3180
11-01-14,Food Sales,,3797
12-01-14,Food Sales,,1138
13-01-14,Food Sales,,648
14-01-14,Food Sales,,407
15-01-14,Food Sales,,2083
16-01-14,Food Sales,,2659
17-01-14,Food Sales,,3758
18-01-14,Food Sales,,3959
19-01-14,Food Sales,,1571
20-01-14,Food Sales,,530
21-01-14,Food Sales,,1460
22-01-14,Food Sales,,834
23-01-14,Food Sales,,1675
24-01-14,Food Sales,,4598
25-01-14,Food Sales,,3261
26-01-14,Food Sales,,434
28-01-14,Food Sales,,936
28-01-14,Food Sales,,625
29-01-14,Food Sales,,853
30-01-14,Food Sales,,1084
31-01-14,Food Sales,,3857
