,food_sales,beverage_sales,wine_sales,liquor_sales,beer_sales,total_sales,date,month,f_food,f_beverage,f_wine,f_liquor,f_beer,f_sales,ds_sales,ds_food,ds_beverage,ds_wine,ds_liquor,ds_beer
26,60975.0,3088.0,32458.0,6508.0,1557.0,104586.0,2013-02-28,2,0.6884523212,0.651876209523,0.687805072857,0.681886043315,0.524230330673,0.683625222666,152987.333604,88568.2248753,4737.09571678,47190.6958539,9544.11673886,2970.0685155
27,58342.0,2563.0,27187.0,3679.0,1393.0,93164.0,2014-02-28,2,0.6884523212,0.651876209523,0.687805072857,0.681886043315,0.524230330673,0.683625222666,136279.348554,84743.7043982,3931.72808358,39527.1873862,5395.32966845,2657.22892877
28,47129.0,1903.0,26468.0,4265.0,958.0,80723.0,2015-02-28,2,0.6884523212,0.651876209523,0.687805072857,0.681886043315,0.524230330673,0.683625222666,118080.780702,68456.4472349,2919.26591613,38481.8330723,6254.71080074,1827.44100054
29,22918.0,832.0,12231.0,1278.0,450.0,37709.0,2016-02-29,2,0.6884523212,0.651876209523,0.687805072857,0.681886043315,0.524230330673,0.683625222666,55160.3404171,33289.1607658,1276.31594442,17782.6545379,1874.21345917,858.401305057
30,78667.0,3978.0,36717.0,7580.0,3036.0,129978.0,2012-03-31,3,0.901560191436,0.958500218321,0.906301391605,0.861937784645,0.771165906499,0.900021314244,144416.579855,87256.5145924,4150.23379647,40513.0129338,8794.13820236,3936.89603549
31,67195.0,3774.0,36766.0,5455.0,1375.0,114565.0,2013-03-31,3,0.901560191436,0.958500218321,0.906301391605,0.861937784645,0.771165906499,0.900021314244,127291.429866,74531.9066195,3937.40129409,40567.0788333,6328.76304668,1783.01450883
32,60524.0,3202.0,29597.0,5529.0,1369.0,100221.0,2014-03-31,3,0.901560191436,0.958500218321,0.906301391605,0.861937784645,0.771165906499,0.900021314244,111354.029526,67132.5115892,3340.63565015,32656.9067135,6414.61611093,1775.23408188
33,48678.0,2217.0,28041.0,2759.0,1434.0,83129.0,2015-03-31,3,0.901560191436,0.958500218321,0.906301391605,0.861937784645,0.771165906499,0.900021314244,92363.3681607,53993.0671988,2312.98851855,30940.0385564,3200.92708447,1859.52204048
34,80250.0,3847.0,40364.0,5996.0,2680.0,133137.0,2012-04-30,4,0.936263316768,0.972545510412,0.949010311601,0.84192844246,0.858822690992,0.934758624751,142429.28225,85713.066573,3955.59895019,42532.7306844,7121.74538549,3120.55099162
35,67975.0,3867.0,36595.0,6623.0,2078.0,117138.0,2013-04-30,4,0.936263316768,0.972545510412,0.949010311601,0.84192844246,0.858822690992,0.934758624751,125313.633807,72602.4386331,3976.16354052,38561.2248388,7866.46425752,2419.5914032
36,64721.0,3048.0,29859.0,4532.0,1693.0,103853.0,2014-04-30,4,0.936263316768,0.972545510412,0.949010311601,0.84192844246,0.858822690992,0.934758624751,111101.408695,69126.9206439,3134.04356646,31463.3040706,5382.88026802,1971.30329433
37,51936.0,2602.0,30482.0,3677.0,1583.0,90280.0,2015-04-30,4,0.936263316768,0.972545510412,0.949010311601,0.84192844246,0.858822690992,0.934758624751,96581.0826554,55471.57415,2675.45320208,32119.7774433,4367.35453343,1843.22097751
38,94069.0,5438.0,45502.0,7120.0,3765.0,155894.0,2012-05-31,5,1.28800271461,1.4038014738,1.2144014254,1.29175462393,1.31196550741,1.26961872587,122788.044019,73034.7839591,3873.76712555,37468.6648487,5511.88272764,2869.74007985
39,88252.0,4972.0,44527.0,8211.0,2732.0,148694.0,2013-05-31,5,1.28800271461,1.4038014738,1.2144014254,1.29175462393,1.31196550741,1.26961872587,117117.050158,68518.4891299,3541.81135495,36665.8001784,6356.47037593,2082.3718189
40,89024.0,4474.0,41559.0,7586.0,2532.0,145175.0,2014-05-31,5,1.28800271461,1.4038014738,1.2144014254,1.29175462393,1.31196550741,1.26961872587,114345.351909,69117.8667486,3187.06033831,34221.797777,5872.6323556,1929.92878677
41,93049.0,4406.0,44108.0,9039.0,3244.0,153846.0,2015-05-31,5,1.28800271461,1.4038014738,1.2144014254,1.29175462393,1.31196550741,1.26961872587,121174.961321,72242.8601624,3138.62044045,36320.7742329,6997.45898527,2472.62598115
42,104855.0,6061.0,54165.0,9831.0,3702.0,178614.0,2012-06-30,6,1.3216101006,1.44782946196,1.27569657065,1.34854881741,1.52950399088,1.31677859501,135644.671531,79338.8306829,4186.26651774,42459.1562337,7290.0586713,2420.39250769
43,93449.0,4945.0,42206.0,10053.0,4035.0,154688.0,2013-06-30,6,1.3216101006,1.44782946196,1.27569657065,1.34854881741,1.52950399088,1.31677859501,117474.570581,70708.4487005,3415.45750375,33084.6699529,7454.68007554,2638.11014817
44,86439.0,4652.0,39587.0,8118.0,3096.0,141892.0,2014-06-30,6,1.3216101006,1.44782946196,1.27569657065,1.34854881741,1.52950399088,1.31677859501,107756.915656,65404.312483,3213.08560312,31031.673919,6019.80432241,2024.18563042
45,89159.0,4237.0,48606.0,5359.0,3475.0,150836.0,2015-06-30,6,1.3216101006,1.44782946196,1.27569657065,1.34854881741,1.52950399088,1.31677859501,114549.249639,67462.4081337,2926.44963466,38101.5369315,3973.90137519,2271.97838039
46,86656.0,5192.0,41591.0,9461.0,4078.0,146978.0,2012-07-31,7,1.16654177595,1.23016382131,1.101432565,1.30000089829,1.54532497149,1.16296477089,126382.160216,74284.5235266,4220.57608105,37760.822879,7277.68727888,2638.92713521
47,84731.0,4626.0,40865.0,10008.0,3784.0,144014.0,2013-07-31,7,1.16654177595,1.23016382131,1.101432565,1.30000089829,1.54532497149,1.16296477089,123833.501758,72634.3468765,3760.47475943,37101.6813,7698.45621891,2448.67589006
48,81668.0,3816.0,37442.0,7415.0,3443.0,133784.0,2014-07-31,7,1.16654177595,1.23016382131,1.101432565,1.30000089829,1.54532497149,1.16296477089,115037.018617,70008.637225,3102.02587159,33993.910467,5703.84221255,2228.0103302
49,76976.0,3270.0,39454.0,5276.0,3151.0,128127.0,2015-07-31,7,1.16654177595,1.23016382131,1.101432565,1.30000089829,1.54532497149,1.16296477089,110172.726816,65986.4923719,2658.18254719,35820.6223911,4058.45873411,2039.0533112
50,97324.0,5408.0,45371.0,10683.0,3921.0,162707.0,2012-08-31,8,1.26077889394,1.27026203863,1.18106510542,1.33694744123,1.54329389966,1.24631748907,130550.202037,77193.5511197,4257.38929098,38415.3251093,7990.59085687,2540.66966821
51,89791.0,4759.0,41307.0,8921.0,3684.0,148462.0,2013-08-31,8,1.26077889394,1.27026203863,1.18106510542,1.33694744123,1.54329389966,1.24631748907,119120.530123,71218.6731802,3746.4710865,34974.363234,6672.66320641,2387.10202951
52,88591.0,3816.0,39160.0,8436.0,2998.0,143001.0,2014-08-31,8,1.26077889394,1.27026203863,1.18106510542,1.33694744123,1.54329389966,1.24631748907,114738.821572,70266.8805973,3004.10457367,33156.5125583,6309.89651489,1942.5982314
53,80986.0,3472.0,45035.0,5034.0,3834.0,138361.0,2015-08-31,8,1.26077889394,1.27026203863,1.18106510542,1.33694744123,1.54329389966,1.24631748907,111015.853676,64234.8951028,2733.29430812,38130.8361354,3765.29386628,2484.29673755
