date,food_sales,beverage_sales,wine_sales,liquor_sales,beer_sales,total_sales,date,dow
2012-02-16,1972.0,117.0,854.0,189.0,78.0,3210.0,2012-02-16,Thu
2012-02-17,3246.0,221.0,1631.0,354.0,32.0,5484.0,2012-02-17,Fri
2012-02-18,3164.0,211.0,1550.0,128.0,56.0,5109.0,2012-02-18,Sat
2012-02-19,2172.0,107.0,1137.0,187.0,110.0,3713.0,2012-02-19,Sun
2012-02-21,758.0,43.0,317.0,33.0,38.0,1189.0,2012-02-21,Tue
2012-02-22,1163.0,37.0,649.0,188.0,20.0,2057.0,2012-02-22,Wed
2012-02-23,1886.0,110.0,936.0,126.0,19.0,3077.0,2012-02-23,Thu
2012-02-24,2457.0,106.0,1366.0,245.0,85.0,4259.0,2012-02-24,Fri
2012-02-25,3377.0,215.0,1529.0,201.0,121.0,5443.0,2012-02-25,Sat
2012-02-26,1636.0,90.0,574.0,124.0,45.0,2469.0,2012-02-26,Sun
2012-02-28,1577.0,78.0,595.0,79.0,71.0,2400.0,2012-02-28,Tue
2012-02-29,1843.0,86.0,951.0,217.0,51.0,3148.0,2012-02-29,Wed
2012-03-01,1640.0,86.0,720.0,177.0,58.0,2681.0,2012-03-01,Thu
2012-03-02,3140.0,188.0,1498.0,364.0,71.0,5261.0,2012-03-02,Fri
2012-03-03,3823.0,242.0,1850.0,404.0,141.0,6460.0,2012-03-03,Sat
2012-03-04,2722.0,183.0,1246.0,148.0,58.0,4357.0,2012-03-04,Sun
2012-03-06,885.0,57.0,407.0,283.0,-0.0,1632.0,2012-03-06,Tue
2012-03-07,1949.0,104.0,944.0,220.0,77.0,3294.0,2012-03-07,Wed
2012-03-08,1761.0,71.0,866.0,158.0,95.0,2951.0,2012-03-08,Thu
2012-03-09,3681.0,168.0,1864.0,438.0,151.0,6302.0,2012-03-09,Fri
2012-03-10,4568.0,298.0,2065.0,467.0,170.0,7568.0,2012-03-10,Sat
2012-03-11,2478.0,150.0,627.0,132.0,96.0,3483.0,2012-03-11,Sun
2012-03-13,2037.0,82.0,907.0,156.0,45.0,3227.0,2012-03-13,Tue
2012-03-14,2267.0,99.0,1157.0,222.0,165.0,3910.0,2012-03-14,Wed
2012-03-15,2586.0,143.0,1179.0,211.0,72.0,4191.0,2012-03-15,Thu
2012-03-16,4938.0,223.0,2242.0,419.0,179.0,8001.0,2012-03-16,Fri
2012-03-17,4923.0,275.0,1934.0,533.0,33.0,7698.0,2012-03-17,Sat
2012-03-18,2248.0,161.0,1046.0,201.0,89.0,3745.0,2012-03-18,Sun
2012-03-20,2058.0,74.0,1221.0,126.0,117.0,3596.0,2012-03-20,Tue
2012-03-21,2195.0,103.0,1167.0,230.0,122.0,3817.0,2012-03-21,Wed
2012-03-22,2741.0,119.0,1307.0,404.0,264.0,4835.0,2012-03-22,Thu
2012-03-23,4258.0,145.0,2170.0,438.0,164.0,7175.0,2012-03-23,Fri
2012-03-24,4784.0,269.0,2036.0,594.0,193.0,7876.0,2012-03-24,Sat
2012-03-25,1943.0,78.0,608.0,170.0,65.0,2864.0,2012-03-25,Sun
2012-03-27,1551.0,69.0,727.0,44.0,45.0,2436.0,2012-03-27,Tue
2012-03-28,1968.0,118.0,810.0,71.0,51.0,3018.0,2012-03-28,Wed
2012-03-29,2544.0,96.0,1103.0,205.0,116.0,4064.0,2012-03-29,Thu
2012-03-30,3981.0,163.0,2273.0,279.0,210.0,6906.0,2012-03-30,Fri
2012-03-31,4998.0,214.0,2743.0,486.0,189.0,8630.0,2012-03-31,Sat
2012-04-01,2534.0,17.0,857.0,128.0,197.0,3733.0,2012-04-01,Sun
2012-04-03,2875.0,151.0,1212.0,165.0,45.0,4448.0,2012-04-03,Tue
2012-04-04,1603.0,89.0,706.0,117.0,58.0,2573.0,2012-04-04,Wed
2012-04-05,3560.0,137.0,2013.0,360.0,164.0,6234.0,2012-04-05,Thu
2012-04-06,3948.0,142.0,1988.0,356.0,116.0,6550.0,2012-04-06,Fri
2012-04-07,3690.0,161.0,1719.0,264.0,90.0,5924.0,2012-04-07,Sat
2012-04-08,2064.0,112.0,877.0,187.0,45.0,3285.0,2012-04-08,Sun
2012-04-10,2507.0,103.0,1770.0,203.0,13.0,4596.0,2012-04-10,Tue
2012-04-11,2592.0,81.0,1220.0,140.0,52.0,4085.0,2012-04-11,Wed
2012-04-12,2738.0,113.0,1359.0,48.0,104.0,4362.0,2012-04-12,Thu
2012-04-13,4317.0,232.0,2731.0,491.0,89.0,7860.0,2012-04-13,Fri
2012-04-14,4524.0,240.0,2157.0,505.0,192.0,7618.0,2012-04-14,Sat
2012-04-15,2616.0,129.0,1240.0,168.0,135.0,4288.0,2012-04-15,Sun
2012-04-17,2522.0,107.0,1072.0,216.0,59.0,3976.0,2012-04-17,Tue
2012-04-18,2044.0,66.0,840.0,187.0,129.0,3266.0,2012-04-18,Wed
2012-04-19,3120.0,201.0,2243.0,406.0,57.0,6027.0,2012-04-19,Thu
2012-04-20,4299.0,279.0,2193.0,320.0,197.0,7288.0,2012-04-20,Fri
2012-04-21,4753.0,249.0,2155.0,312.0,89.0,7558.0,2012-04-21,Sat
2012-04-22,2945.0,196.0,1444.0,227.0,116.0,4928.0,2012-04-22,Sun
2012-04-24,2729.0,124.0,1736.0,95.0,176.0,4860.0,2012-04-24,Tue
2012-04-25,2684.0,144.0,1013.0,12.0,70.0,3923.0,2012-04-25,Wed
2012-04-26,3499.0,177.0,1924.0,78.0,172.0,5850.0,2012-04-26,Thu
2012-04-27,4073.0,170.0,2149.0,457.0,58.0,6907.0,2012-04-27,Fri
2012-04-28,4931.0,245.0,2592.0,347.0,83.0,8198.0,2012-04-28,Sat
2012-04-29,2632.0,162.0,919.0,176.0,76.0,3965.0,2012-04-29,Sun
2012-04-30,451.0,20.0,235.0,31.0,98.0,835.0,2012-04-30,Mon
2012-05-01,2223.0,125.0,1219.0,252.0,58.0,3877.0,2012-05-01,Tue
2012-05-02,1548.0,63.0,819.0,170.0,13.0,2613.0,2012-05-02,Wed
2012-05-03,2890.0,125.0,1640.0,177.0,129.0,4961.0,2012-05-03,Thu
